aas;

PHE;143
GLY;84
CYS;12
ILE;96
ARG;77
MET;32
GLU;135
ALA;45
SER;65
VAL;119
ASP;136
TRP;14
HIS;90
LEU;144
GLN;63
TYR;120
PRO;70
THR;105
ASN;104
LYS;171
